Timestamp,Your Name,Pickup Coordinate,Drop Coordinate,Fare for Bike,"[Waiting Time of Bike, No. of bikes available]",Fare for Auto,"[Waiting Time of Auto, No. of Auto Available]",Fare for Car,"[Waiting Time of Car, No. of cars available]",Platform,  Is a Surge/High-Demand alert visible?  ,Hour,Minute,DecimalHour,Day,Weekend,Rushhour,DistanceKm,Duration,TrafficLevel,SurgeValue,PickupTemperature,PickupWindSpeed,PickupWeatherCode,PickupHumidity,DropTemperature,DropWindSpeed,DropWeatherCode,DropHumidity,PickupZone,DropZone,BikeWait,BikeSupply,AutoWait,AutoSupply,CarWait,CarSupply,priceKmBike,priceKmAuto,priceKmCar
05-03-2026 15:08,Prince,"28.5391198, 77.4085046","28.5714706, 77.3819343",75,2,103,2,158,3,RAPIDO,0,15,8,15.13,4,0,0,8.833,18.1,NORMAL,0,33.7,13.3,0,34,33.6,12.6,0,35,RESIDENTIAL,HEALTHCARE,2,0,2,0,3,0,8.49,11.66,17.89
05-03-2026 15:35,Prince,"28.6512698, 77.4282989","28.5714706, 77.3819343",121,5,224,5,227,5,RAPIDO,0,15,35,15.58,4,0,0,14.946,29.25,NORMAL,0,33.5,12.6,0,34,33.6,12.6,0,34,RESIDENTIAL,HEALTHCARE,5,0,5,0,5,0,8.1,14.99,15.19
05-03-2026 15:48,Prince,"28.6422441, 77.2204727","28.5714706, 77.3819343",209,4,352,4,505,4,RAPIDO,0,15,48,15.8,4,0,0,28.015,46.9,NORMAL,0,33.3,13.1,0,34,33.5,12.6,0,34,TRANSIT_HUB,HEALTHCARE,4,0,4,0,4,0,7.46,12.56,18.03
05-03-2026 16:30,Prince,"28.458098, 77.508537","28.452592, 77.526631",41,3,55,4,106,3,RAPIDO,0,16,30,16.5,4,0,0,3.896,11.18333333,HEAVY,0,33.2,12.6,0,33,33.1,12.6,0,33,RESIDENTIAL,RESIDENTIAL,3,0,4,0,3,0,10.52,14.12,27.21
05-03-2026 16:36,Prince,"28.4529608, 77.4996568","28.648360, 77.315601",237,3,396,7,510,4,UBER,0,16,36,16.6,4,0,0,35.381,52.11666667,LOW,0,33.2,12.6,0,33,33.1,11.9,0,34,RESIDENTIAL,TRANSIT_HUB,3,0,7,0,4,0,6.7,11.19,14.41
05-03-2026 16:39,Prince,"28.570522,77.326197","28.701868,77.098360",335,3,436,4,564,3,RAPIDO,0,16,39,16.65,4,0,0,38.596,61.68333333,NORMAL,0,33.1,11.9,0,34,32.4,11.9,0,38,TRANSIT_HUB,RESIDENTIAL,3,0,4,0,3,0,8.68,11.3,14.61
05-03-2026 16:50,Prince,"28.4721579, 77.4889678","28.5390797, 77.4085213",96.68,2,243.06,4,176.05,4,UBER,0,16,50,16.83,4,0,0,15.385,28.66666667,NORMAL,0,32.9,12.1,0,34,33,12.1,0,34,EDUCATION,RESIDENTIAL,2,0,4,0,4,0,6.28,15.8,11.44
05-03-2026 17:33,Prince,"28.5949374, 77.3776877","28.4724376, 77.4888126",194,3,270,3,333,3,RAPIDO,0,17,33,17.55,4,0,1,28.737,43.26666667,LOW,0,31.9,8.4,0,38,31.8,9.2,0,37,RESIDENTIAL,RESIDENTIAL,3,0,3,0,3,0,6.75,9.4,11.59
05-03-2026 17:35,Prince,"28.5714676, 77.3819229","28.4721579, 77.4889678",125.86,3,275.78,1,312.55,1,UBER,0,17,35,17.58,4,0,1,20.912,38.31666667,NORMAL,0,31.9,8.4,0,38,31.8,9.2,0,37,HEALTHCARE,EDUCATION,3,0,1,0,1,0,6.02,13.19,14.95
05-03-2026 17:44,Prince,"28.532313,77.210063","28.618688,77.217313",68,3,142,3,167,3,RAPIDO,0,17,44,17.73,4,0,1,11.622,29.9,MODERATE,0,31,8.1,0,39,31.6,9,0,38,RESIDENTIAL,RESIDENTIAL,3,0,3,0,3,0,5.85,12.22,14.37
05-03-2026 17:49,Prince,"28.513250,77.151188","28.538313,77.067313",85,1,127,1,187,1,RAPIDO,0,17,49,17.82,4,0,1,15.749,40.11666667,MODERATE,0,29.7,6.6,0,47,30,6.6,0,47,RESIDENTIAL,RESIDENTIAL,1,0,1,0,1,0,5.4,8.06,11.87
05-03-2026 17:58,Prince,"28.6609,77.2303","28.6328,77.2197",42,4,65,4,119,4,RAPIDO,0,17,58,17.97,4,0,1,6.06,22.06666667,HEAVY,0,31.1,8.1,0,40,31.1,8.1,0,40,TRANSIT_HUB,TRANSIT_HUB,4,0,4,0,4,0,6.93,10.73,19.64
05-03-2026 18:00,Prince,"28.5535,77.2588","28.6507,77.2334",117,5,179,5,237,5,RAPIDO,0,18,0,18,4,0,1,14.287,32.13333333,MODERATE,0,29.9,6.7,0,44,30.5,7.2,0,42,RESIDENTIAL,RESIDENTIAL,5,0,5,0,5,0,8.19,12.53,16.59
05-03-2026 18:04,Prince,"28.6127,77.2773","28.6609,77.2303",71,4,130,4,164,4,RAPIDO,0,18,3,18.05,4,0,1,10.361,22.25,MODERATE,0,30.6,7.2,0,42,30.5,7.2,0,42,RESIDENTIAL,TRANSIT_HUB,4,0,4,0,4,0,6.85,12.55,15.83
05-03-2026 18:28,Prince,"28.5553154, 77.0994990","28.5714650, 77.3818729",353,5,,,605,5,RAPIDO,0,18,28,18.47,4,0,1,42.152,66.01666667,NORMAL,0,28.5,5.8,0,53,30.4,6.6,0,44,TRANSIT_HUB,HEALTHCARE,5,0,0,0,5,0,8.37,0,14.35
05-03-2026 18:33,Prince,"28.450576,77.508452","28.485757,77.515437",56,3,73,3,156,3,RAPIDO,0,18,33,18.55,4,0,1,6.314,13.11666667,MODERATE,0,29.6,5.5,0,45,29.6,5.5,0,45,RESIDENTIAL,RESIDENTIAL,3,0,3,0,3,0,8.87,11.56,24.71
05-03-2026 18:37,Prince,"28.467892,77.496155","28.467769,77.565724",81,5,136,4,172,4,RAPIDO,0,18,37,18.62,4,0,1,10.694,18.46666667,NORMAL,0,29.6,5.5,0,45,27.6,5.4,0,54,RESIDENTIAL,RESIDENTIAL,5,0,4,0,4,0,7.57,12.72,16.08
05-03-2026 18:40,Prakhar,"28.450073,77.556357","28.565281,77.122507",518,3,,,943,4,UBER,0,18,40,18.67,4,0,1,55.38,82.11666667,LOW,0,29.6,5.5,0,45,27.6,5.4,0,55,RESIDENTIAL,TRANSIT_HUB,3,0,0,0,4,0,9.35,0,17.03
05-03-2026 18:43,Prakhar,"28.629050,77.454121","28.690276,77.332325",130,3,228,6,324,7,UBER,0,18,43,18.72,4,0,1,24.269,40.53333333,NORMAL,0,28.8,5.8,0,50,28.9,5.8,0,51,RESIDENTIAL,RESIDENTIAL,3,0,6,0,7,0,5.36,9.39,13.35
05-03-2026 19:30,Prince,"28.4722284,77.4889615","28.4569444, 77.5002778",25,1,60,1,103,1,RAPIDO,0,19,30,19.5,4,0,1,2.648,6.15,MODERATE,0,27.6,5.1,0,53,27.6,5.1,0,53,EDUCATION,TRANSIT_HUB,1,0,1,0,1,0,9.44,22.66,38.9
05-03-2026 20:12,Prince,"28.4884587, 77.5140911","28.5390853, 77.4085046",105.42,3,216.64,2,216.47,1,UBER,0,20,12,20.2,4,0,1,16.24,31,NORMAL,0,26.8,5.1,0,55,26.8,5.1,0,55,RESIDENTIAL,RESIDENTIAL,3,0,2,0,1,0,6.49,13.34,13.33
